y,x1,x2,x3,x4,x5,x6
533,R100 ,R127 ,34191.9,1.99,89039,7
604,R100 ,R136 ,14096.32,0.82,67111,5
606,R200 ,R262 ,17183.87,1,66151,10
607,R200 ,R262 ,14899.87,0.87,66057,10
608,R200 ,R260 ,15644.36,0.91,66405,10
609,R200 ,R260 ,11360.22,0.66,60279,10
610,R100 ,R136 ,11809.55,0.69,66444,5
611,R100 ,R137 ,11098.5,0.65,65653,5
612,R200 ,R260 ,16885.54,0.98,74348,10
613,R200 ,R260 ,12190.76,0.71,66333,10
614,R200 ,R250 ,12850.16,0.75,66231,9
615,R200 ,R208 ,13925.71,0.81,66575,9
616,R100 ,R137 ,10833.78,0.63,66576,5
617,R100 ,R161 ,20871.26,1.22,66088,10
618,R100 ,R177 ,12361,0.72,50149,8
619,R100 ,R126 ,19079.03,1.11,98794,5
620,R100 ,R111 ,14951.87,0.87,67544,5
622,R100 ,R148 ,11238.4,0.66,65458,5
623,R100 ,R148 ,14675.69,0.86,66573,5
624,R100 ,R148 ,11932.04,0.7,65750,5
625,R300 ,R378 ,15289.87,0.89,75376,6
626,R200 ,R237 ,13135.78,0.77,68252,9
627,R200 ,R259 ,14874.91,0.87,66207,10
628,R200 ,R262 ,18734.17,1.09,50594,10
632,R100 ,R134 ,11463.05,0.67,66097,5
634,R100 ,R148 ,15091.59,0.88,66189,5
636,R100 ,R161 ,16625.41,0.97,66748,10
637,R200 ,R259 ,13760.15,0.8,61785,10
638,R300 ,R318 ,12475.7,0.73,66168,4
639,R300 ,R374 ,12022.38,0.7,75334,9
641,R200 ,R213 ,15340.49,0.89,75407,9
642,R300 ,R310 ,16165.36,0.94,66799,4
643,R100 ,R163 ,19057.3,1.11,92458,5
645,R300 ,R315 ,11095.3,0.65,79182,4
647,R300 ,R313 ,13955.94,0.81,75669,4
649,R300 ,R324 ,15011.35,0.88,70602,4
650,R300 ,R365 ,10206.04,0.6,66253,4
652,R300 ,R314 ,13283.59,0.77,66845,4
654,R300 ,R354 ,15300.77,0.89,76687,4
655,R300 ,R314 ,13824.79,0.81,74609,4
656,R300 ,R314 ,11401.5,0.66,73212,4
657,R100 ,R114 ,16250.62,0.95,72026,5
658,R100 ,R143 ,13334.06,0.78,56072,5
659,R100 ,R114 ,14857.14,0.87,73784,5
660,R200 ,R248 ,18044.54,1.05,82029,9
661,R100 ,R131 ,11975.33,0.7,55260,5
662,R100 ,R102 ,12920.75,0.75,73838,5
663,R100 ,R111 ,14683.45,0.86,75436,5
664,R100 ,R131 ,28491.6,1.66,90014,5
665,R300 ,R354 ,12082.51,0.7,75447,4
666,R100 ,R173 ,18710.74,1.09,85468,5
669,R300 ,R315 ,13741.96,0.8,76207,4
670,R100 ,R147 ,17538.55,1.02,85753,5
671,R100 ,R136 ,15063.66,0.88,77104,5
672,R100 ,R135 ,9472.64,0.55,56980,5
673,R100 ,R148 ,12272.15,0.72,74994,5
674,R100 ,R117 ,11906.48,0.69,74825,5
675,R200 ,R247 ,12611.32,0.74,66790,9
676,R200 ,R245 ,12996.93,0.76,76516,9
677,R200 ,R244 ,15104.15,0.88,74961,9
679,R100 ,R161 ,13577.39,0.79,56269,10
680,R300 ,R380 ,12815.67,0.75,66975,9
681,R200 ,R259 ,14110.54,0.82,75520,10
682,R300 ,R332 ,14346.29,0.84,85748,4
684,R300 ,R304 ,14466.89,0.84,74003,6
685,R200 ,R219 ,14253.86,0.83,74776,9
686,R300 ,R359 ,13970.9,0.81,74939,4
687,R300 ,R324 ,22537.92,1.31,73964,4
688,R300 ,R313 ,13191.38,0.77,74889,4
689,R300 ,R360 ,11874.18,0.69,79256,4
690,R300 ,R320 ,12607.31,0.74,75475,4
692,R200 ,R212 ,16675.5,0.97,74657,9
693,R100 ,R131 ,14323.35,0.84,75068,5
694,R100 ,R102 ,19843.7,1.16,79452,5
